sellerSku,position,column,cloudinaryUrl,localFile,imageKey
DCBD-HW5P-001,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630413/diecastbd/products/l5ydl3h47skkexgbi5pz.jpg,DCBD-HW5P-001-1.jpg,
DCBD-HW5P-001,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630414/diecastbd/products/htovdjhdyfbqroubbfnm.jpg,DCBD-HW5P-001-2.jpg,
DCBD-HW5P-002,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630416/diecastbd/products/lqzt14i1tdt203lkxiw9.jpg,DCBD-HW5P-002-1.jpg,
DCBD-HWCC-001,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630417/diecastbd/products/lx3qedduc09rp05y24xm.jpg,DCBD-HWCC-001-1.jpg,
DCBD-HWCC-001,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630419/diecastbd/products/kegvwhzjomqhuwj3znhi.jpg,DCBD-HWCC-001-2.jpg,
DCBD-HWCC-002,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630420/diecastbd/products/rh751d7eghwjzihtrjfx.jpg,DCBD-HWCC-002-1.jpg,
DCBD-HWCC-002,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630422/diecastbd/products/imy1p86xpqpevxklewut.jpg,DCBD-HWCC-002-2.jpg,
DCBD-HWCC-003,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630423/diecastbd/products/ouopnuzcmv5xksswr8fy.jpg,DCBD-HWCC-003-1.jpg,
DCBD-HWCC-003,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630424/diecastbd/products/tcczbknacbgiuqbg30q8.jpg,DCBD-HWCC-003-2.jpg,
DCBD-HWCC-004,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1784046557/diecastbd/products/ns3hoocoyshiteqkkrsh.jpg,DCBD-HWCC-004-1.jpg,
DCBD-HWCC-005,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630247/diecastbd/products/ud4u5ilwvugnfj8rjcwm.jpg,DCBD-HWCC-005-1.jpg,
DCBD-HWCC-005,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630248/diecastbd/products/w8oyk4qoipymrvdfqufv.jpg,DCBD-HWCC-005-2.jpg,
DCBD-HWCC-006,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630250/diecastbd/products/azti8wrlj4l5anqezpbs.jpg,DCBD-HWCC-006-1.jpg,
DCBD-HWCC-006,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630251/diecastbd/products/fiwwxhiybqr6n2yv4jbh.jpg,DCBD-HWCC-006-2.jpg,
DCBD-HWCC-007,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630253/diecastbd/products/j7mzvlhimaqh9a3paf30.jpg,DCBD-HWCC-007-1.jpg,
DCBD-HWCC-007,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630255/diecastbd/products/klyvm7thtyk02y5ssb5i.jpg,DCBD-HWCC-007-2.jpg,
DCBD-HWCC-008,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630256/diecastbd/products/trg9yiwpuykjt4kfulyq.jpg,DCBD-HWCC-008-1.jpg,
DCBD-HWCC-008,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630258/diecastbd/products/qgcfo1dl6ofnb0f0qpeh.jpg,DCBD-HWCC-008-2.jpg,
DCBD-HWCC-009,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1785171114/diecastbd/products/evkwgjhzo8wurfd2q5tf.jpg,DCBD-HWCC-009-1.jpg,
DCBD-HWCC-010,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630262/diecastbd/products/oq1jec6y4fa6bnpkoznv.jpg,DCBD-HWCC-010-1.jpg,
DCBD-HWCC-010,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630266/diecastbd/products/tyj4sqmesfu1rhjpsghe.jpg,DCBD-HWCC-010-2.jpg,
DCBD-HWCC-011,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630267/diecastbd/products/ystjudncfhuz2vdrwpww.jpg,DCBD-HWCC-011-1.jpg,
DCBD-HWCC-012,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630302/diecastbd/products/fshpgihlaugvmgrwbo8f.jpg,DCBD-HWCC-012-1.jpg,
DCBD-HWCC-013,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630310/diecastbd/products/onhjzknyqvcee4zehgel.jpg,DCBD-HWCC-013-1.jpg,
DCBD-HWF1-001,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630312/diecastbd/products/mdsrnqunm2oupibekp2f.jpg,DCBD-HWF1-001-1.jpg,
DCBD-HWF1-001,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630314/diecastbd/products/asuomkhuktn3tym25pio.jpg,DCBD-HWF1-001-2.jpg,
DCBD-HWF1-002,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630315/diecastbd/products/ccmcpvr2acaeuwn0i6pr.jpg,DCBD-HWF1-002-1.jpg,
DCBD-HWF1-002,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630318/diecastbd/products/liiipfz0lmiwtvktt422.jpg,DCBD-HWF1-002-2.jpg,
DCBD-HWFF-001,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630320/diecastbd/products/vgzp5bn2nkbyuhtezpc5.jpg,DCBD-HWFF-001-1.jpg,
DCBD-HWFF-001,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630322/diecastbd/products/ydiroks6ct08kl7xicxw.jpg,DCBD-HWFF-001-2.jpg,
DCBD-HWFF-002,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630323/diecastbd/products/kropdb8un9ymgjq60a1t.jpg,DCBD-HWFF-002-1.jpg,
DCBD-HWFF-002,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630325/diecastbd/products/bwepppulhikzorg3xsli.jpg,DCBD-HWFF-002-2.jpg,
DCBD-HWFF-003,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630326/diecastbd/products/mabepzsg8ayvdfyn18nt.jpg,DCBD-HWFF-003-1.jpg,
DCBD-HWFF-003,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630328/diecastbd/products/nuvxtqbu2tdggpfixyql.png,DCBD-HWFF-003-2.png,
DCBD-HWFF-004,1,C (Product Image 1) + AG (Variant Image),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630330/diecastbd/products/hociiberg84y4riq5k2y.jpg,DCBD-HWFF-004-1.jpg,
DCBD-HWFF-004,2,D (Product Image 2),https://res.cloudinary.com/lx6anpd6/image/upload/v1783630331/diecastbd/products/th6xl2ms6l7gqnpwveqn.jpg,DCBD-HWFF-004-2.jpg,
